U id,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level
247,Unknown Photographer (?),Level 1,Appears To Be Photography Studio,Yard shared with others,NA,NA,Peacock yard,64_59_Street_number_,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,L1
263,Can Of Worms,Level 1,Art And Media Production,Yard shared with others,No goods access required,www.canofworms.net,Peacock yard,7a,Se17 3lh,NA,NA,NA,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,L1
748,Piers Townshend,Level 1,Art Conservator,No associated yard space,Loading from vehicles in yard used,NA,Peckham Road,36 - 38,SE5 8QT,7.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=09c038a3-b2b4-413f-b67a-1d302e44b466_1565201389.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=09c038a3-b2b4-413f-b67a-1d302e44b466_1565713293.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,L1
27,Joana Pereira,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,no,no,yes,no,no,G
37,Kineret Lourie,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,G
47,Moira Lux,NA,Artist,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,G
1203,Beyond,Ground Floor,Design Company,No associated yard space,No goods access required,https://bynd.com,Bermondsey Street,75,SE1 3XF,NA,NA,NA,Cities,Artisan / art production,M Services: professional,Stand alone (industrial),Not industrial,no,no,yes,no,no,G
113,Charlie Thorne,NA,Director & Photographer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,no,no,no,no,no,G
1026,Movielux Ltd,Level 2,Film And Television Production,No associated yard space,Goods lift access,https://www.movieluxltd.com/,Clement Road,100,SE16 4DG,6.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3e0e2d60-d061-488b-8336-24b6f01ef1b9_1564574670.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Industrial in predominantly industrial premises,no,no,no,no,no,L2
798,Reel Nice Ltd/Mark Edward Pizzey,Level 2,Film Production,No associated yard space,Goods lift access,www.reelnice.com,Clements Road,100,SE16 4DG,203.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cd206f6a-5e0d-48d6-8cc6-06394b5985a5_1565097761.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,L2
670,Dosed Uk,Level 1,Film/Cgi/Digital Production,No associated yard space,No goods access required,https://dosed.co.uk/,Drummond Road,100,SE164DG,102.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=120974f0-b868-11e9-8b62-c5f9625487df_1565109677.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,L1
553,Hyperdub,"Level 1, Ground Floor",Record Label,Yard shared with others,Goods lift access,HyperDub.net,NA,58,SE15 4PU,11.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=60e15c05-5348-47a0-bae4-f55ed9c4a50c_1566484678.jpg,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,G
1047,Unsigned United Ltd,Level 2,Sound Recording And Music,No associated yard space,Goods lift access,NA,Clements Road,100,SE16 4DG,202.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=d12547af-63bb-4e13-b320-1b68c3b40106_1564612106.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,L2
322,Superfolk Limited,Ground Floor,Video Production,Yard shared with others,Loading from vehicles in yard used,NA,Iliffe Yard,NA,SE17 3QA,8.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3709f890-f7fa-48f7-a6a9-1af1536d7dbd_1568634576.jpg,Cities,Artisan / art production,M Services: professional,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,G
