WKT,U_ID,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level,Sector
"MULTIPOLYGON (((533784.51 174944.528000001,533785.536 174944.512,533785.65 174945.6,533786.336894571 174948.724700498,533781.9 174949.75,533781.463 174948.051000001,533782.208762928 174947.859214155,533782.124022724 174944.506384642,533784.51 174944.528000001)))",1,East Dulwich Car Wash,,Car Washing,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=09e71ebd-b430-421a-9866-21ebdbcc7462_1571004686.jpg,Cities,"Vehicle / equipment depot, other inc service / hire",N Services: other,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Transportation and Storage
"MULTIPOLYGON (((532974.77566233 177438.11538327,532978.480141324 177441.867023273,532980.495800636 177439.961065295,532976.686953733 177436.313155585,532974.77566233 177438.11538327)))",2,Alex Bartsch,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532973.41456414 177436.527738509,532974.77566233 177438.11538327,532976.686953733 177436.313155585,532975.184873264 177434.650137923,532973.41456414 177436.527738509)))",3,Alex Edwards,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532977.598931161 177432.826183068,532980.648322568 177429.477942115,532983.39563438 177432.567194024,532980.227571981 177435.293886696,532978.993720168 177433.899097689,532978.263226983 177434.570055087,532976.955182388 177433.362640379,532977.598931161 177432.826183068)))",4,Amon Brown,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532980.227571981 177435.293886696,532981.515069526 177436.688675702,532984.656835554 177433.985368734,532983.39563438 177432.567194024,532980.227571981 177435.293886696)))",5,Angela Phillips,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532981.515069526 177436.688675702,532982.856212802 177438.13711044,532985.817376525 177435.290354718,532984.656835554 177433.985368734,532981.515069526 177436.688675702)))",6,Angelica Bollettinari,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532982.856212802 177438.13711044,532984.411939002 177439.746482371,532987.377609676 177437.044779979,532985.817376525 177435.290354718,532982.856212802 177438.13711044)))",7,Avd Gallery,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532984.411939002 177439.746482371,532987.201517015 177443.179809157,532990.171198094 177440.10556215,532987.377609676 177437.044779979,532984.411939002 177439.746482371)))",8,Ben Grafton,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532980.852350435 177444.269432521,532983.392670112 177446.827718867,532985.484853622 177444.789181088,532982.802567071 177442.214185999,532980.852350435 177444.269432521)))",9,Ben Mcdonnell,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532983.392670112 177446.827718867,532985.216624967 177448.651673722,532989.132763332 177444.842826819,532987.201517015 177443.179809157,532983.392670112 177446.827718867)))",10,Benjamin Redgrove,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532987.201517015 177443.179809157,532990.795780994 177446.613135943,532988.757243215 177448.490736529,532990.849426725 177450.529274308,532996.028309157 177445.786959882,532993.850307402 177443.67429818,532990.171198094 177440.10556215,532987.201517015 177443.179809157)))",11,Christopher Macinnes,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532990.849426725 177450.529274308,532988.48901456 177452.782395012,532986.450476781 177450.314691384,532988.757243215 177448.490736529,532990.849426725 177450.529274308)))",12,Colin Barnes,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
