"","query_code","fuc","fuc_2","lat","long","sheet_no","sheet_no_2","mb_note_no","mb_comment","comment_1","comment_2","comment_3","description_M","description_updated","category"
"1",1,NA,NA,51.506231,-0.102881,NA,NA,1,"To check what is in this building, which looks like some sort of studios / workshops. Burrell Street","Desktop or on the ground survey",NA,NA,NA,NA,"lat/long new FUC required"
"2",2,790,NA,51.505319,-0.10222,NA,NA,2,"Is this yard also Grant Macdonald (excluding the corner building)?","Action: Check if yard is in industrial use, either desktop or survey. If it is, draw polygon from parcels layer & associate with FUC 790 or 300002.",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"3",3,300002,NA,NA,NA,NA,NA,3,"Is this little bit industrial? I thought not.",NA,NA,NA,"Bespoke stage and scenery construction","Bespoke stage and scenery construction","FUCs descriptions checked"
"4",4,817,NA,NA,NA,NA,NA,4,"This is an office building.",NA,NA,NA,"office building","office building","FUCs descriptions checked"
"5",5,NA,NA,51.504291,-0.101874,NA,NA,5,"Yard is part of the industrial.","Already shown on map",NA,NA,NA,NA,"lat/long new FUC required"
"6",6,NA,NA,51.504072,-0.100068,"3",NA,6,"Have the railway arches here been check for industrial use?","Ask surveyor of sheet 3 if they checked, if they didnt, conduct new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"7",7,NA,NA,51.504389,-0.099256,"3",NA,7,"I think this is a Network Rail depot / van yard, if so it’s industrial.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"8",8,NA,NA,51.503847,-0.10017,"3",NA,8,"Paxman (French Horn producer) are in basement here.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"9",9,854,NA,NA,NA,NA,NA,9,"This doesn’t look industrial, all seems to be office and residential. How come shown as industrial?",NA,NA,NA,"Offices","Offices","FUCs descriptions checked"
"10",10,778,NA,NA,NA,NA,NA,10,"This didn’t look industrial to me. Are we sure?",NA,NA,NA,"restaurant","restaurant","FUCs descriptions checked"
"11",11,NA,NA,51.503663,-0.100548,"3","4",11,"JMBP printers, I think.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"12",12,8560001,NA,NA,NA,NA,NA,12,"This doesn’t seem to be industrial, more like office use. Was it checked?",NA,NA,NA,"Co-working office/workshop space","Co-working office/workshop space","FUCs descriptions checked"
"13",13,400001,NA,NA,NA,NA,NA,13,"Whole yard is industrial: taxi depot / diesel filling.",NA,NA,NA,"Diesel filling station","Diesel filling station","FUCs simple polygon edits needed"
"14",14,827,NA,NA,NA,NA,NA,14,"All offices.",NA,NA,NA,"Office block","Office block","FUCs descriptions checked"
"15",15,838,NA,NA,NA,NA,NA,14,"All offices.",NA,NA,NA,"Office block","Office block","FUCs descriptions checked"
"16",16,841,NA,NA,NA,NA,NA,14,"All offices.",NA,NA,NA,"Office building","Office building","FUCs descriptions checked"
"17",17,846,NA,NA,NA,NA,NA,14,"All offices",NA,NA,NA,"Office block","Office block","FUCs descriptions checked"
"18",18,862,NA,51.503005,-0.099458,NA,NA,15,"Yard looks like part of the utilities use. Check if yard is in industrial use, desktop survey. If it is, draw polygon from parcels layer & associate with FUC 862. 
",NA,NA,NA,NA,NA,"FUCs simple polygon edits needed"
"19",19,826,NA,NA,NA,NA,NA,16,"Office and residential, not industrial.",NA,NA,NA,"Mixed offices/residential block","Mixed offices/residential block","FUCs descriptions checked"
"20",20,822,NA,NA,NA,NA,NA,17,"Offices, I think. To check. 
",NA,"Yes - marketing agency in office building",NA,"Industry training/lobby group","Office building","FUCs descriptions checked"
"21",21,400011,NA,NA,NA,NA,NA,18,"Check what this is. I didn’t notice industrial here.",NA,"confirmed online",NA,"Making and hire of stage costumes","Making and hire of stage costumes","FUCs descriptions checked"
"22",22,796,NA,NA,NA,NA,NA,19,"Offices and residential, no industrial.","confirmed with full survey or verbal check",NA,NA,"Office block","Office and residential","FUCs descriptions checked"
"23",23,818,NA,NA,NA,NA,NA,20,"To check, looks like multi-occupier workshop / studio building.",NA,"Desktop (first) then on site survey (if desktop uneuccessful) to check if this is multiple businesses","Called St Mungos, they occupy whole building at no. 7 King's Bench St.","Charity, training and reintegration homeless","Charity, training and reintegration homeless","FUCs queries"
"24",24,823,NA,NA,NA,NA,NA,21,"Redeveloped as residential, I think. CHECKED BY AGA RESIDENTIAL ON TOP FLOORS GROUND FLOOR OFFICE AS BY FUC ENTERED IN EPICOLLECT","confirmed with full survey or verbal check",NA,NA,"Insurance agency","Insurance agency","FUCs descriptions checked"
"25",25,NA,NA,51.501134,-0.100956,NA,NA,22,"Yards in industrial use.","Draw polygons over yards next to buildings from parcels layer & associate with FUCs 833 and 839.",NA,NA,NA,NA,"FUCs simple polygon edits needed"
"26",26,NA,NA,51.501167,-0.100474,NA,NA,23,"Yard in industrial use.","Already shown on map",NA,NA,NA,NA,"lat/long new FUC required"
"27",27,833,NA,NA,NA,NA,NA,24,"All offices",NA,NA,NA,"Office block","Office block","FUCs descriptions checked"
"28",28,839,NA,NA,NA,NA,NA,24,"All offices",NA,NA,NA,"Office block","Office block","FUCs descriptions checked"
"29",29,NA,NA,51.500989,-0.099388,NA,NA,25,"Vodafone seems to be industrial, of some sort. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"30",30,8290002,NA,NA,NA,NA,NA,26,"Residential, I think.
","confirmed with full survey or verbal check",NA,NA,"Photography Studio","Photography Studio","FUCs descriptions checked"
"31",31,NA,NA,51.500807,-0.100618,"5",NA,27,"Check arches. I think more down to Webber is in industrial use. ","Ask surveyor of sheet if they checked, if they didn't, conduct new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"32",32,NA,NA,51.500441,-0.100518,"5",NA,28,"Maybe southern section of arches is still industrial. To check.","Ask surveyor of sheet if they checked, if they didn't, conduct new survey.",NA,NA,NA,NA,"lat/long new FUC required"
"33",33,832,NA,NA,NA,NA,NA,29,"I think there is still workshop use here, with residential. See Simon Kidd Bespoke Furniture. CHECKED BY AGA ALL CHANGED INTO SMALL RESIDENTIAL DEVELOPMENT. NOT YET RENTED/USED
","confirmed with full survey or verbal check",NA,NA,"Residential Development","Residential Development","FUCs descriptions checked"
"34",34,NA,NA,51.49987,-0.100367,NA,NA,30,"Railway arches and adjoining yards all look to be industrial, including Long Lane Car Centre.  
","CHECKED BY AGA/ ONLY SOME OF THE ARCHES IN USE","redraw the badly drawn polygons so they extend under the railway arches including FUCs 842 and 844, and the one just to the north of that.","confirmed online",NA,NA,"FUCs simple polygon edits needed"
"35",35,NA,NA,51.499657,-0.099452,"5",NA,31,"I think these are industrial. To check/","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"36",36,NA,NA,51.499621,-0.099153,"5",NA,32,"I think this is includes an Age UK mini-bus depot. To check.","new on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"37",37,864,NA,NA,NA,NA,NA,33,"I don’t think this is industrial.","confirmed with full survey or verbal check",NA,NA,"storage and delivery area","storage and delivery area","FUCs descriptions checked"
"38",38,866,NA,NA,NA,NA,NA,34,"Mercato Metropolitano unlikely to include any industrial, but worth checking. Or has it all been vacated now?",NA,NA,NA,"cinema","cinema","FUCs descriptions checked"
"39",39,7760006,NA,NA,NA,NA,NA,35,"Clarence Centre for Enterprise appears to be all offices, but is worth checking for any industrial.",NA,"confirmed online",NA,"Clerance Centre","Office","FUCs descriptions checked"
