"","3_Functional_Unit_Co","5_11_Name_of_organis","Description_of_","Class1"
"1",7300002,"East Dulwich Car Wash","Car washing","Car wash"
"2",62400060,"Alex Bartsch","Artist","Artist studio"
"3",62400059,"Alex Edwards","Artist","Artist studio"
"4",62400058,"Amon Brown","Artist","Artist studio"
"5",62400057,"Angela Phillips","Artist","Artist studio"
"6",62400056,"Angelica Bollettinari","Artist","Artist studio"
"7",62400055,"AVD Gallery","Artist","Artist studio"
"8",62400054,"Ben Grafton","Artist","Artist studio"
"9",62400053,"Ben McDonnell","Artist","Artist studio"
"10",62400052,"Benjamin Redgrove","Artist","Artist studio"
"11",62400051,"Christopher MacInnes","Artist","Artist studio"
"12",62400050,"Claudia Toran","Artist","Artist studio"
"13",62400049,"Colin Barnes","Artist","Artist studio"
"14",62400048,"Corey Bartle-Sanderson","Artist","Artist studio"
"15",62400047,"Craig Lee","Artist","Artist studio"
"16",62400046,"Dana Giurescu","Artist","Artist studio"
"17",62400045,"Dafne Salis","Artist","Artist studio"
"18",62400044,"Daisy Billowes","Artist","Artist studio"
"19",62400043,"Eleanor Bedlow","Artist","Artist studio"
"20",62400042,"Elena Gileva","Artist","Artist studio"
"21",62400041,"Emily Scaife","Artist","Artist studio"
"22",62400040,"Fabio Almeida","Artist","Artist studio"
"23",62400039,"Folio Atelier","Artist","Artist studio"
"24",62400038,"Gregory Williams","Artist","Artist studio"
"25",62400037,"Holly Drewett","Artist","Artist studio"
"26",62400036,"Ian Williamson","Artist","Artist studio"
"27",62400035,"Irina Razumovskaya","Artist","Artist studio"
"28",62400034,"James Barker","Artist","Artist studio"
"29",62400033,"Joana Pereira","Artist","Artist studio"
"30",62400032,"Jack Mainwaring","Artist","Artist studio"
"31",62400031,"Jaclyn Pappalardo","Artist","Artist studio"
"32",62400030,"James Brown","Artist","Artist studio"
"33",62400029,"Jamie Temple","Artist","Artist studio"
"34",62400028,"Jane Higginbottom","Artist","Artist studio"
"35",62400027,"Joanna Georgiades","Artist","Artist studio"
"36",62400026,"Jonathan Halls","Artist","Artist studio"
"37",62400025,"Joshua Armitage","Artist","Artist studio"
"38",62400024,"Joshua phillips","Artist","Artist studio"
"39",62400023,"Kineret Lourie","Artist","Artist studio"
"40",62400022,"Livi Mills","Artist","Artist studio"
"41",62400021,"Lottie Kingslake","Artist","Artist studio"
"42",62400020,"Lucie Kordacova","Artist","Artist studio"
"43",62400019,"Maja Andreah","Artist","Artist studio"
"44",62400018,"Mark Jeffreys","Artist","Artist studio"
"45",62400017,"Mark Connolly","Artist","Artist studio"
"46",62400016,"Martin Jackson","Artist","Artist studio"
"47",62400015,"Millington Marriott","Artist","Artist studio"
"48",62400014,"Miguel Pacheco","Artist","Artist studio"
"49",62400013,"Moira Lux","Artist","Artist studio"
"50",62400012,"Nemo Nonnenmacher","Artist","Artist studio"
"51",62500011,"No License","Artist","Artist studio"
"52",62400010,"Original Material","Artist","Artist studio"
"53",6240009,"Paul Schneider","Artist","Artist studio"
"54",6240008,"Praktika studio","Artist","Artist studio"
"55",6240007,"Phoebe Halstead","Artist","Artist studio"
