ec5_uuid,created_at,title,1_Surveyor_Nickname,2_Map_sheet_number,3_Functional_Unit_Co,5_11_Name_of_organis,6_12_Description_of_,7_13_When_was_the_or,8_14_Do_you_regard_t,9_15_If_no_what_type,10_16_If_other_pleas,12_21_Total_number_o,13_22_Observed_or_Ve,14_23_How_many_FTEs_,15_24_Observed_or_Ve,16_25_Is_the_organis,17_26_How_many_peopl,19_31_Floor_levels_t,20_32_How_many_store,21_33_Unit_size_Inse,22_34_Square_metres_,23_35_Observed_or_Ve,24_36_Predominant_he,25_37_Premises_type_,26_38_If_other_pleas,27_39_Type_of_associ,28_310_Car_parking_S,29_311_Goods_access_,30_312_Are_these_pre,31_313_If_premises_a,32_314_When_did_the_,33_315_Is_the_premis,34_316_If_rentedleas,35_317_Will_the_leas,37_41_Is_the_localit,38_42_If_so_why_sele,39_43_If_locality_is,40_44_What_is_your_v,41_45_What_are_the_t,42_46_Where_are_the_,43_47_Where_are_the_,44_48_Is_the_organis,45_49_Does_the_organ,46_410_If_yes_where_,47_411_If_yes_when,48_412_If_yes_why,49_413_Are_the_organ,50_414_If_yes_please,51_415_Are_you_aware,52_416_If_yes_how_ha,53_417_If_other_plea,54_418_What_is_your_,56_51_Contact_willin,57_52_Name_of_contac,58_53_Contact_teleph,59_54_Contact_email_,60_55_Organisation_t,61_56_Organisation_w,62_57_Organisation_e,63_58_Street_name_eg,64_59_Street_number_,65_510_Postcode_Incl,66_511_Unit_number_i,68_61_Additional_not,69_62_Internal_photo,71_71_Would_the_acti,lat_72_72_Location,long_72_72_Location,accuracy_72_72_Location,73_73_External_photo,74_74_SIC_Code,75_75_Site_ID,76_76_Notes_on_any_o
254c5116-c203-453a-b3b3-d9a95979a256,2019-09-20T23:39:54.632Z,"Helen Quinn 36 3600065","Helen Quinn",36,3600065,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block, converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow Street",,"SE17 2dg",,,,no,,,,,90030,,"Other ASC studios, Turps, Bainbridge"
c1876376-1220-4b4f-9512-02bc5ea3d830,2019-09-20T23:37:03.958Z,"Helen Quinn 36 3600064","Helen Quinn",36,3600064,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow street",,"SE17 2dg",,,,no,,,,,90030,,"Other ASC studios, Turps, Bainbridge"
3cc76424-c11e-4793-9675-1b9661dcb6c2,2019-09-20T23:35:11.483Z,"Helen Quinn 36 3600063","Helen Quinn",36,3600063,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block, converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow Street",,"SE17 2dg",,,,no,,,,,90030,,"Other ASC studios, Turps, Bainbridge"
56dd6c78-99ec-49c6-92e9-710d1fd453d1,2019-09-20T23:33:19.102Z,"Helen Quinn 36 3600062","Helen Quinn",36,3600062,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block, converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow Street",,"Se17 2dg",,,,no,,,,,90030,,"Other ASC studios"
500c354f-79ea-460b-b856-d8772b306ee9,2019-09-20T23:31:30.101Z,"Helen Quinn 36 3600061","Helen Quinn",36,3600061,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block, converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow Street",,"SE17 2dg",,,,no,,,,,90030,,"Other ASC studios, Turps, Bainbridge"
05f9f5ae-08f8-4d4b-9dea-d8375b849a12,2019-09-20T19:22:00.923Z,"Helen Quinn 36 3600060","Helen Quinn",36,3600060,,"Artist studio",,,,,,,,,,,,1,,,,,"an office building, Other","Offices in council housing block, converted to studios","No associated yard space","No car parking on site","Goods lift access",,,,Rented/leased,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thurlow Street",,"SE17 2dg",,,,no,51.488354,-0.086646,4,,90030,,"Other ASC studios, Turps, Bainbridge"
547c1162-092b-4136-9670-b0ffb8ee29a2,2019-09-20T16:25:18.833Z,"Jessica 103 1030036",Jessica,103,1030036,Fashtag,"Fashion maker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471029,-0.066961,65,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=547c1162-092b-4136-9670-b0ffb8ee29a2_1568996716.jpg,,,
ea6b6a9e-b917-452d-b22e-ccbedec9af3c,2019-09-20T16:24:29.478Z,"Jessica 103 1030033",Jessica,103,1030033,"Pyramid projects","Producer and mix engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471037,-0.066992,65,,,,
a2c52371-5762-4763-b5c7-738659624e83,2019-09-20T16:23:43.044Z,"Jessica 103 1030032",Jessica,103,1030032,"The Reasons Why Foundation","Behaviour and thinking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.471036,-0.066988,65,,,,
faeaa3b1-b54b-4b03-895d-a3fcc9a17d8e,2019-09-20T16:22:48.692Z,"Jessica 103 1030031",Jessica,103,1030031,"Peckham Rye Music Festival",Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.47103,-0.067008,65,,,,
